Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that comment and the time is visible or not,ELE-101,10106,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:55 PM,08/Sep/21 12:38 PM,08/Sep/21 10:20 AM,08/Sep/21 12:38 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-18,,,,,,,,{},,,,,,,0|i000kv:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Project Name' is able to open the projects,ELE-100,10105,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:54 PM,08/Sep/21 12:37 PM,08/Sep/21 10:14 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-18,,,,,,,,{},,,,,,,0|i000kn:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Selinium project' link directs to correct page,ELE-99,10104,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:48 PM,08/Sep/21 12:40 PM,08/Sep/21 10:10 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-18,,,,,,,,{},,,,,,,0|i000kf:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Selinium project' logo is appearing properly ,ELE-98,10103,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:46 PM,08/Sep/21 12:38 PM,08/Sep/21 10:06 AM,08/Sep/21 12:38 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-18,,,,,,,,{},,,,,,,0|i000k7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Creation date' is showing exact time of note created,ELE-97,10102,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:43 PM,08/Sep/21 12:37 PM,08/Sep/21 10:02 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000jz:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Sort by title' sorts the note according to its title,ELE-96,10101,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:42 PM,08/Sep/21 12:40 PM,08/Sep/21 9:52 AM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000jr:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Sort by date' is able to sort the notes according to dates on which notes created,ELE-95,10100,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:41 PM,08/Sep/21 12:37 PM,08/Sep/21 9:47 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000jj:,,ELE Sprint 1,,,,,,,,Done
Verify that edit and delete in add new note is able to edit and delete notes,ELE-94,10099,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:38 PM,08/Sep/21 12:39 PM,08/Sep/21 9:37 AM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000jb:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Create Note' button in the notebook is creating notes on clicking,ELE-93,10098,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:36 PM,08/Sep/21 12:37 PM,08/Sep/21 9:32 AM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000j3:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Note Details' in the add new note is able to accept text and allow different styles ,ELE-92,10097,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:26 PM,08/Sep/21 12:37 PM,08/Sep/21 12:19 PM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000iv:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Note title' in the add new note is not accepts null value,ELE-91,10096,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:23 PM,08/Sep/21 12:43 PM,08/Sep/21 9:14 AM,08/Sep/21 12:43 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000in:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Note title' in the add new note is accepts text or not,ELE-90,10095,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:22 PM,08/Sep/21 12:39 PM,07/Sep/21 6:14 PM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000if:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Add new note' in notebook is selectable or not,ELE-89,10094,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:20 PM,08/Sep/21 12:43 PM,07/Sep/21 6:07 PM,08/Sep/21 12:43 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000i7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Notebook' link directs to correct page,ELE-88,10093,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:03 PM,08/Sep/21 12:40 PM,07/Sep/21 6:01 PM,08/Sep/21 12:40 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000hz:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Notebook' logo is appearing properly ,ELE-87,10092,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 12:03 PM,08/Sep/21 12:39 PM,07/Sep/21 6:02 PM,08/Sep/21 12:39 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-17,,,,,,,,{},,,,,,,0|i000hr:,,ELE Sprint 1,,,,,,,,Done
Verify that 'View' field is able to view the uploaded assignment,ELE-86,10091,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 11:14 AM,08/Sep/21 12:43 PM,07/Sep/21 5:44 PM,08/Sep/21 12:43 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000hj:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Save' field in assignment is able to save the uploaded assignement,ELE-85,10090,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 11:12 AM,08/Sep/21 12:42 PM,07/Sep/21 5:30 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000hb:,,ELE Sprint 1,,,,,,,,Done
Verify that title and file extension in assignments should automatically insert a data after uploading document,ELE-84,10089,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 11:04 AM,08/Sep/21 12:37 PM,07/Sep/21 5:22 PM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000h3:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Upload a document' is able to upload the document,ELE-83,10088,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 11:01 AM,08/Sep/21 12:37 PM,07/Sep/21 5:17 PM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000gv:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Upload my assignment' is able to upload assignments,ELE-82,10087,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:55 AM,08/Sep/21 12:42 PM,07/Sep/21 5:03 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000gn:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Tests' in the assignment should be open ,ELE-81,10086,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:54 AM,08/Sep/21 12:36 PM,07/Sep/21 4:55 PM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-12,,,,,,,,{},,,,,,,0|i000gf:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Latest Changes' is able to show latest changes done,ELE-80,10085,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:23 AM,08/Sep/21 12:37 PM,07/Sep/21 4:49 PM,08/Sep/21 12:37 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000g7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'All Pages' in wiki is able to show all pages,ELE-79,10084,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:21 AM,08/Sep/21 12:36 PM,07/Sep/21 4:43 PM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000fz:,,ELE Sprint 1,,,,,,,,Done
Verify that all links in statistics  are in work on clicking,ELE-78,10083,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:15 AM,08/Sep/21 12:42 PM,07/Sep/21 4:35 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000fr:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Statistics' is clickable or not in the wiki,ELE-77,10082,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:12 AM,08/Sep/21 12:42 PM,07/Sep/21 4:34 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fj:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Search' button in the search of wiki should be search the content ,ELE-76,10081,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:08 AM,08/Sep/21 12:36 PM,07/Sep/21 4:30 PM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000fb:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Search item' should be able to accept text in search item,ELE-75,10080,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:03 AM,08/Sep/21 12:42 PM,07/Sep/21 4:21 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000f3:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Search Item' in search field of wiki should be able to search,ELE-74,10079,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:02 AM,08/Sep/21 12:42 PM,07/Sep/21 4:17 PM,08/Sep/21 12:42 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000ev:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Search' button in the wiki should be able to click so that it will search respected text in search field,ELE-73,10078,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 10:00 AM,08/Sep/21 12:41 PM,07/Sep/21 4:00 PM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000en:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Home' in the wiki goes to home page on clicking,ELE-72,10077,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 9:59 AM,08/Sep/21 12:36 PM,07/Sep/21 4:00 PM,08/Sep/21 12:36 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ef:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Wiki' link directs to correct page,ELE-71,10076,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 9:51 AM,08/Sep/21 12:41 PM,07/Sep/21 3:59 PM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000e7:,,ELE Sprint 1,,,,,,,,Done
Verify that 'Wiki' logo is perfectly visible or not,ELE-70,10075,Test,Done,ELE,E-Learning,software,Snehal Bhagwat,612f39a26b6661006908d54b,,Medium,Done,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,Snehal Bhagwat,612f39a26b6661006908d54b,07/Sep/21 9:50 AM,08/Sep/21 12:41 PM,09/Sep/21 10:21 AM,08/Sep/21 12:41 PM,,0,,,Snehal Bhagwat,612f39a26b6661006908d54b,,,,,,,,,,,ELE-14,,,,,,,,{},,,,,,,0|i000dz:,,ELE Sprint 1,,,,,,,,Done
